unit_id,amplitude_cutoff,firing_range,firing_rate,isi_violations_ratio,rp_contamination,rp_violations,sd_ratio,snr,silhouette,mad_ratio,quality_label
26,0.01684562372289895,0.8,0.17784265633371676,0.0,0.0,0,1.057312044768111,3.6161852,,0.9823279,0.0
29,0.002158464260547882,0.4,0.06997088118047873,0.0,0.0,0,2.619702409652171,5.599004,,2.007412,0.0
40,0.00435150419568226,4.0,1.0034018724839484,0.16087323018836952,0.2807084670073674,1,3.255517936640319,3.0859432,0.03338832317000666,2.445883,0.0
41,0.004088752522675968,1.6,0.32458714325388743,0.0,0.0,0,2.067590238807684,2.0729208,0.053210944136198216,1.8599074,0.0
42,0.00017790010049096913,3.2,0.8445096631366114,0.22710377323511147,0.43547481872403093,1,1.000547079711217,3.8890371,0.11683506921475546,0.8703335,1.0
45,0.0002859476768601444,1.8,0.43974755186342535,0.0,0.0,0,0.9425091396062316,3.7768617,0.1788502509314787,0.7788836,0.0
48,0.012768623718085513,1.0,0.2361517239841157,0.0,0.0,0,1.0121984296655995,12.894915,0.12639356455185502,0.5930398,1.0
53,0.046165730578409184,1.2,0.25655989766175535,0.0,0.0,0,0.9883118216761372,18.144396,0.18808280539232247,0.54119766,1.0
54,0.01267607192060318,2.2,0.5549079604729633,0.5260071969476231,1.0,1,1.0866109459509643,6.7303944,0.12634371704201935,0.8151715,1.0
55,0.14405323104514095,0.8,0.13459676449300423,0.0,0.0,0,2.320678315102559,12.773884,0.04702731292277237,1.0515331,0.0
56,0.0029910404053669778,0.8,0.1350826733900909,0.0,0.0,0,1.9071274543584675,3.4361806,0.035336695361308484,1.8865079,0.0
58,0.0009753612693781087,1.8,0.46890208568862485,0.0,0.0,0,1.0866219744703718,3.0061016,0.09411309883642682,0.9605283,1.0
60,0.00468475902695208,2.2,0.47570481024783806,1.4314906186191951,1.0,2,3.258444022498038,1.5957341,0.08035843995869035,1.8059617,0.0
61,0.008705673344486279,3.8,0.9562687094665426,0.0,0.0,0,1.0718758821488334,4.1710525,0.0378414927140325,0.90204334,1.0
66,0.006782052693157536,0.9,0.17006811398033025,0.0,0.0,0,3.0912058984988486,8.971989,0.24480271193922956,1.4147378,0.0
71,0.005837380603108782,1.0,0.19339174104048984,0.0,0.0,0,1.0084837906000852,1.8607055,0.06599990995215237,0.9464086,0.0
76,0.020247116831445686,0.6,0.10787177515323805,0.0,0.0,0,2.7928977538712476,31.687532,0.2979149727363122,0.6290782,1.0
77,0.0001638081141991734,3.4,0.7832851421036925,0.0,0.0,0,2.261000652838872,1.7875842,0.03244081913658525,1.9538958,0.0
81,0.0013353976227395792,6.2,1.6180766272985707,0.12372726780834889,0.20701942232173598,2,1.447718550072213,2.603412,0.055695312032716215,1.3223399,0.0
83,0.005906416447210808,1.0,0.23809535957246236,0.0,0.0,0,1.0369136768264318,13.392391,0.04634680514796262,0.61290467,1.0
84,0.00014737044115421065,3.2,0.8532560232841712,0.44494349992995064,1.0,2,1.5030311586733844,3.104847,0.05710430615687343,1.1492163,1.0
85,0.005299848173516904,3.2,0.7147719876144737,0.3170286772456941,0.778834975045968,1,7.571552211674899,6.829531,0.07352463261998926,6.4136214,0.0
86,0.08330086745253898,0.8,0.15063175809686394,0.0,0.0,0,1.5509634832609582,10.41814,0.2901662743958903,0.92710674,0.0
90,0.014429203563514842,1.2,0.23906717736663566,0.0,0.0,0,12.105321271826721,12.243533,0.06988472450806796,8.2062645,0.0
96,0.011121633983500346,1.6,0.35374167707908694,0.0,0.0,0,1.6976079042152863,4.810128,0.05943424245070496,1.184257,1.0
102,0.002173079860889853,7.6,1.931487865919465,0.08683196392547762,0.06739501710971774,1,5.542660612144888,4.172428,0.0491355355157596,3.9680815,0.0
104,0.001740904762349313,1.8,0.40427620237609935,0.0,0.0,0,1.6839441886846445,1.6048086,0.060333423705605,1.6283695,0.0
